# height tau_500 colmass temperature v_turb hydrogen_density proton_density electron_density pressure p_ratio density
#     km        m/m      g/cm^2       K   km/s       cm^-3       cm^-3       cm^-3    dyn/cm^2  Pa/Pa      g/cm^3
  200.00  4.728E-02  9.705E-01    4990   0.79  3.476E+16  1.253E+11  4.004E+12  2.659E+04  0.990  8.145E-08
  175.00  6.873E-02  1.195E+00    5060   0.90  4.211E+16  2.028E+11  4.945E+12  3.274E+04  0.988  9.866E-08
  150.00  9.922E-02  1.466E+00    5150   1.00  5.062E+16  3.579E+11  6.153E+12  4.017E+04  0.985  1.186E-07
  125.00  1.421E-01  1.790E+00    5270   1.10  6.024E+16  7.119E+11  7.770E+12  4.905E+04  0.983  1.412E-07
  100.00  2.021E-01  2.174E+00    5410   1.20  7.107E+16  1.485E+12  1.003E+13  5.957E+04  0.980  1.665E-07
   75.00  2.874E-01  2.625E+00    5580   1.30  8.295E+16  3.281E+12  1.353E+13  7.192E+04  0.977  1.944E-07
   50.00  4.132E-01  3.148E+00    5790   1.40  9.558E+16  7.614E+12  1.980E+13  8.624E+04  0.975  2.240E-07
   35.00  5.218E-01  3.496E+00    5980   1.46  1.027E+17  1.439E+13  2.779E+13  9.578E+04  0.973  2.405E-07
   20.00  6.746E-01  3.869E+00    6180   1.52  1.098E+17  2.588E+13  4.064E+13  1.060E+05  0.972  2.572E-07
   10.00  8.141E-01  4.132E+00    6340   1.55  1.142E+17  3.926E+13  5.501E+13  1.132E+05  0.971  2.675E-07
    0.00  9.999E-01  4.404E+00    6520   1.60  1.182E+17  6.014E+13  7.697E+13  1.207E+05  0.971  2.771E-07
  -10.00  1.253E+00  4.686E+00    6720   1.64  1.219E+17  9.269E+13  1.107E+14  1.284E+05  0.970  2.857E-07
  -20.00  1.611E+00  4.975E+00    6980   1.67  1.246E+17  1.536E+14  1.730E+14  1.363E+05  0.970  2.919E-07
  -30.00  2.145E+00  5.269E+00    7280   1.70  1.264E+17  2.597E+14  2.807E+14  1.444E+05  0.970  2.963E-07
  -40.00  2.946E+00  5.567E+00    7590   1.73  1.280E+17  4.249E+14  4.480E+14  1.525E+05  0.971  3.000E-07
  -50.00  4.129E+00  5.869E+00    7900   1.75  1.295E+17  6.668E+14  6.923E+14  1.608E+05  0.971  3.035E-07
  -60.00  5.858E+00  6.174E+00    8220   1.77  1.307E+17  1.022E+15  1.050E+15  1.691E+05  0.972  3.062E-07
  -70.00  8.362E+00  6.481E+00    8540   1.79  1.317E+17  1.515E+15  1.546E+15  1.776E+05  0.972  3.085E-07
  -80.00  1.196E+01  6.790E+00    8860   1.80  1.325E+17  2.180E+15  2.215E+15  1.860E+05  0.973  3.104E-07
  -90.00  1.695E+01  7.102E+00    9140   1.82  1.337E+17  2.942E+15  2.979E+15  1.946E+05  0.973  3.134E-07
 -100.00  2.365E+01  7.417E+00    9400   1.83  1.351E+17  3.826E+15  3.867E+15  2.032E+05  0.974  3.166E-07
